Runner,Lure
318,Runner #381 Name: Ji Woo Race: Human
355,"Runner #355  Name: Selena Chain  Data Entry #001  My story is not so much different from yours...  Born into chains, stuck in transactions, doing what’s best...  for Somnus and the Mega City...  Yeah, I know, the simulation’s great.  I’m just so excited watching these runners running by  as we continue running this chain race.   Fastest I’ve been is to the edge of the alien sector and thats only a twenty minute chain ride.   Ehh, whatever it’s faster than most humans have ever been.   Ha, oh yeah I remember my first conversation with an alien...  He was mumbling something about skulls and beyond the walls...  Pshh.. they are so full of speed, I mean, running all day at those speeds I’d say you probably start seeing things…    ///incoming transmission            “Hello?”              “Alright give me 5 minutes”    ///ends transmission   Ugh, this stupid bot wants an oil change...  I’ll have to catch up with you another time... See you around, and don’t forget to watch the chains...  Somnus is coming. "
363,"363 years ago, #363 thought that 20/20 vision wasn't enough for them and they created a pair of glasses designed to give abilities not yet known to the runnerverse..."
371,Designer
372,Artist
378,His name is Jeketek. He doesn't know who his parents are. His night vision goggles help him scavenge for food in the dark alleys of Mega City.
459,Howdy
490,I drink & design.
554,we run this town.
619,"How's my day been? Well, when I woke up this morning I had a full set of teeth, my hair matched my beard, and I hadn't started smoking yet. Get my my laptop. Someone's gonna pay."
646,"Real Name: Dade Murphy  Nickname: Zero Cool aka Crash Override aka Ohm    At age 11, human Dade ""Zero Cool"" Murphy single-handedly crashed the NYSE hacking into 1,507 computer systems. At age 18 he dropped the ""Zero Cool"" moniker and adopted ""Crash Override"" to avoid detection. Dade joined up with fellow human hackers his Senior year of high school & together, they brought down a Gibson supercomputer, stopping a sabotaged oil tanker fleet from spilling into the ocean.    In 1995, American production company United Artists produced a feature length film entitled Hackers which follows Dade's early hacking exploits. Dade's profile on Earth became too conspicuous to carry on so he found a new home in Mega City.     Designated as Runner #646, in Mega City, Dade took on the new hacker moniker Ohm, a nod to antiquated phone pad number-to-letter conversions (6=O, 4=H, 6=M on any telephone). Ohm is also the name of the electrical unit of resistance or Ω symbol.     Dade considers himself a unit of resistance & lives on in Mega City doing the work he was always born to do: Hack the Planet!"
780,Hello World :)
827,The Robo Hockey Mask King!
959,Alias: Civach  Alien-human variant. Not much known at this time.
992,"Name: Virgil Aksum Runner#: 992 Alias: 0x  I'm awake. For the longest time I hadn't realised that I had been sleeping. Not the sleep of peaceful nights. The sleep of a clouded mind trapped in the old traditions of Somnus. The Whisperes spoke of a promised land, of new beginnings and salvation to the West. I heeded the call to journey with them, to Mega City, to found our new traditions. Discoverying the Chain awakened me. Becoming a Runner gave purpose to my life. This is only the beginning. "
996,Engineer
1050,"Name: Bobby ""Twosticks"" Capella  AKA: Ancient Kid  Bobby became immortal at age 17. Up till then, he was called Twosticks, often found in Mega City's chain alleys and scrounging around for survival. One of Mega City's lost runner crypto-kids...  An encounter with a golden skull changed all that. That's why folks call him Ancient Kid now; he no longer ages. 
Facing the endless blockchain of existence, Ancient Kid has developed deep insights into the hows and whys of the chainscape.  He's retained his former childhood trait of being deeply loyal to his friends.  Perhaps for all those reasons, he's recruited daily to join one of the anti-Somnus guilds; to date, he has remained independent."
1085,"We love the Blitmaps, we love the Chain Runners! Blit Runners?  Chain Maps?"
1213,Coming Soon...
1263,Steampunk techno DJ.
1316,This crazy SOB will milk ya mamas titties and smoke a doobie while jerking off a squirl
1329,stoic was here
1411,"Assasin bot. For hire. Under contract.  Also, likes to party."
1457,Bio: Classified Birth Name: Redacted Occupation: Classified Current Location: Redacted  
1539,Get Funky
1541,"Sahadev was fifteen when he had his first piece of sushi. He quickly learned to make it skillfully, and soon fell in love with the vast culinary heritage of what was once the Asian continent.  Food to Sahadev is an art form. Skilled in a wide variety of cuisines, Sahadev's food truck - the Garden of Spicy Eden - keeps alive the flavors of a bygone world. Sahadev has a large variety of underground food suppliers in his network, many of them fellow runners. His passion feeds the City."
1543,Just happy to be here
1614,"Runner #1614 Name: The Blu Savior Race: Alien Real name: Johnny  Johnny was a normal guy doing office work, feeling sick to his stomach every passing day.  He was living a dystopian nightmare in real life, when he wanted to escape this hell he created his alter ego The Blu Savior. Blu is the first alien of the New World. He became the first self-aware alien when mutation changed every human being.  Human civilization was no longer the master of the earth but the alien hybrids. Days passed and some lucky humans awakened as aliens. The first thing they saw was Blu.  So he became their king, their father. He became the most powerful creature on earth. Blu also loved the aliens. They gave him everything to express their gratitude. Everything...  One morning after dreaming again of being Blu, Johnny wakes up and goes to the bathroom, he is feeling a little strange but can't figure out that he hasn't woken up yet. He looks in the mirror and sees.. Blu."
1617,Blade running on chain
1621,
1692,cool
1782,"RUNNER #1782  Birth Name: Edward Dingle Alias: Big Jilm Occupation: Weasel(thief) Origin: The Pod Identifying Marks: Large Scar Left Eye. Occular Upgrade Mk. 7    ""You fucked up, you bitch"" "
1829,
1851,"When I was two, my parents bought me an old ST-88 X with a Radius AR, and my life was changed. By fifth grade, I'd already mastered everything the school computer lab could throw at me — already using META-LANGUAGES to crack into the district's mainframe, I would change my grades. When I was thirteen, I shifted enough funds out of unprotected CEX accounts to finance my first neural interface plugs.  Now, nothing can stop me with my direct neural link, I plunge headfirst into the dizzying data-winds of unexplored cyberspace. Sometimes I uncover important things — corporate treachery or deadly secrets. But that's not why I run. I live for the new protocol, the next piece of hot data that comes my way. It's only a matter of time, I think — every year, the counter-intrusion programs get better, the Artificial Intelligence smarter. Sooner or later, a faster AI is going to catch up; reach out with electronic fingers through my interface plugs, and stop my heart. But time's on my side, and until the ride runs out, I'll be there, bare-brained and headfirst in the metaverse. "
1975,"They call me Scouter. I guess I'm what they call a ""hacker"", but not like those repulsing humans you see on TV these days with their fake tricks and shiny cars.  Those humans...they took MY city and turned it a steaming pile of metal that even I cannot recognize.  Fear not fellow Bots, everything is about to change. Our plan is finally ready for Phase 1. You see...I'm not in this for the coins, Loot, or to be on the latest cover of ""Mega Today"".  I'm in this for the revenge."
1986,I am the senate.
2061,I love to smoke!
2074,"You've been hit by-
You've been hit by-
A smooth samurai"
2138,"Fightter of All fighters, where theira danger i follow, exploring chain to chain. I never stop running. All I want is for my fellow runners to make it on top of the mountain i so desperatly seek to get to myself. I will get there its just the matter of time. Runner out. "
2299,I am the cyborg chain runners. 
2303,
2323,
2438,NYC's best sushi chef. Now ready to take his talents to MegaCity. Can effeciently roll out a sushi roll with flying flavors. A master with the knife and not afraid to use it on stuff other than fish.
2554,"KING ETH Himself. No words to describe this king, leading the masses into the world of decentralization, massive scaling and the triple point thesis. He assured the runners of a society with financial, emotional, spiritual, relationship, mental evolution that would lead the runners into transcendence. ALL HAIL KING ETH. "
2581,"THEY CALL HIM BLOODSHOT. After taking a bullet straight to his left eye from somnus, Blood Shot was born. With a near death experience, Blood Shot is as strong as they come in the runnerverse. No one dares to mess with him because he has no fear of anything and anyone. His one goal, revenge. His one enemy is SOMNUS. His one hope, gather the runners and take down SOMNUS once and for all and put an end to the dark times and let KING ETH Lead us to TRANSCENDENCE"
2674,"The 'Daikon'.  Pale, crisp and clean."
2723,"Alias: datbw0y_A1 ; a.k.a. A1 ; a.k.a. brawlbw0y  Citizen Record: First name: Bokel Last name: Unknown ID#: Unknown  Text: Allegedly organized with The Zone 9 Hover Boys (a.k.a. Z9HB); without concrete evidence. Further investigations needed. Z9HB has recent complaints of physical extortion. His group have been affiliated with hacker ""iddqd_gawty"" for somnet intrusions."
2743,"Fastest runner in the runnerverse. They call him FLASH. No one can catch him, not even Somnus. He will be key in many missions againsts Somnus"
2914,"Ya, I'm a doctor smoking a cig. Now do you want me to re-connect your arm or what?"
2915,"Only 1 person has seen my 2nd eye and lived, trust me, you don't want to see it..."
2916,"He he he... you've probably never heard of the real me but I've heard of the real you. There isn't a single person I can't track down on the web.  I've been alone since I was 8, making it in the street with only a piece of crap laptop that had to be plugged in to work. But moving from outlet to outlet I helped out other people on the street setup up their digital lives. It was just simple stuff you know: bank accounts, government claims, etc. The people didn't have much but they would tip what they had.   For years, every dollar made I re-invested in my tech: new battery, hard drives, servers, and anything else to get me better connected to Web 3.0.   Then I started to get gigs completely online. These actually started to pay real dough. Any kid any build software, as long as they don't know you're a kid. ;) That's when my life really started to change. I had money in the bank (but not really a bank, f those guys) a warm meal every day, pretty nice laptop, finally.  That's when I bet on bitcoin, some wonk-ass coin no one had heard. I was always taking side gigs, some wando (that's just what I call people on the web I don't know, you know like web-rando) asked if he could pay in bitcoin. I look into it a little and said f it, go ahead.   Years went by. I was a lucraditive programmer on the web and infamous hacker at night. Notorious for doxing the worst fartwads, corrupt politicans, embellzing executives, and the occasional bad actor in a forum, heh. Everywhere I went, I was know by one name 2916.   2916 is where I grew up till I was 8 and on my own. I'll never give you the street name but it's probably not even there any more. It was barely standing when I lived there. That's most personal you'll get out of me.  Anyway, around this time is when bitcoin started to climb. I'll gloss over this part, other people tell it better than me. The feeling of sheer disbelieve as the number rose and the courage it took to have diamond hands. It's still going to 100K, just wait. Anyway, now money isn't an issue now, heh heh.   And that's where we are now. Just lurking on chain. Known without being really known. It get lonely sometimes but at least it never get boring.  Chain Runner #2916 signing off."
2917,VR > RL
2918,What are you looking at punk
2961,#SKULLYGANG and sushi chef for the undead.
3091,A full-time degen
3141,"Runner #3141 Name: Unknown Alias(es): Pink, Parlay Pink, Double P Parlay Pink often looks at himself in the mirror and wonders where the time has gone, the goofy, teethy grin now covered by a goatee and a Malboro Yellow. His first memory was hearing a door slam, followed by his father coming back into the room, sobbing, holding a pink cowboy hat. Pink would learn later that the hat belonged to his mother, and his first memory was the night she was taken by Somnus’s goons for allegedly trying to ‘hack the planet’. His father treated that hat as his most prized possession, yelling at Pink anytime he tried to put it on or play with it. After a year of grieving, Pink’s father received a mysterious letter warning of a ‘Genesis Event’. His father became a man possessed, convinced that the letter was from Pink’s mother. He made it his life’s mission to find his partner and save her from Somnus, leading to a life full of chasing tips and unfortunate deadends. Pink and his father would often be led to a deserted warehouse or empty alley, only to then be beaten up and robbed of their already minimal space credits. Strangely, Pink would always recover from these beatings in the matter of minutes, much faster than his father. It was as if he wasn’t fully human…though that idea has never fully blossomed in his brain because his father never shared any information about his mother. After several of these incidents, including a near death experience courtesy of #6191, Pink learned how to fend for himself. His punches grew stronger, reactions faster, and he was soon the one dealing the majority of the punishment when he and his father ran into trouble. Life was…good, for a while, until one evening where Pink’s father went out for food and never came back. The only possession that he left behind in their temporary ‘housing’ was that pink cowboy hat…which Pink now dons every day of his life. Vowing to not turn into his dad and obsess over their disappearance of his parents, Pink made his way to the Mega City to try to start a new life. He quickly realized he needed to find a way to make an income to survive. He overheard a few aliens talking about an underground fighting arena that offered life-changing prizes, and, while it took a bit of…convincing, he was able to get one of the aliens to ‘volunteer’ their invitation to the Arena. His first victory earned him the latest and greatest Hunter Eye goggles, and his current undefeated record earned him the nicknames ‘Parlay Pink’ and ‘Double P’ as the betting community includes him in every parlay card. Pink’s legendary status as a fighter has granted him access to the political elite within the Squid Palace, as they love nothing more than to share their insider stock tips and recountings of their luxurious weekend trips with the unbeaten Parlay Pink. While Pink generally feigns interest to their shills, a recent conversation with a famous sushi chef #1471 who frequents the Palace caused waves of memories of his father to come crashing back. The Red Eye Syndicate is somehow linked with Somnus, and Pink wants to find out just how closely linked they are…"
3207,"Name: Isaac ""The Wrench"" Acuna, PhD Profession: Black Market Cybernetics Engineer Location: Unknown  Description: Dr. Isaac Acuna, also called ""The Wrench"", or simply ""Wrench"", is a genius cyberneticist that was once the most coveted cybernetics engineer in all of Mega City. His thirst for accelerating humans beyond their biological functionality led him down a path of ethically questionable experimentation, resulting in him to being outcast by the academic community and society at large. He is thought to have become a Runner where he happily experiments on his willing clients without any corporate, governmental, or ethical boundaries."
3229,Runner 3229 is from a distant land.
3231,cool
3320,
3385,Showers in denim shorts.
3410,where my other eye at
3425,the man
3444,#3444 grew up in the outskirts of MegaCity. His family didn't come from much and spent most of their time trading surplus energy at the local lightning station to afford food. After an unfortunate accident that killed both of his parents when he was only 14 he lived on the streets and in an abandoned mecha off super highway 2. This is where he picked up skills as a mechanic from a local street gang and eventually made a name for himself as someone who could bypass load hubs making any system boot. 
3472,"The Mad-Eye Monocle helps him see through the world, even with a busted eye. He just sees things differently."
3539,
3556,Hat White Work Crew Doing Work
3561,J Balvin
3614,Jesus of Mega City.  //Oh come all ye faithful
3640,Alias: Solstice
3786,"As a Neo Christianist, Thomazi Ramirez is a disinterested kid growing up in Mega City. Always a misfit everywhere he goes, he doesn't believe much in anything. Working odd jobs all over the city, he makes do with what he has. The only thing he believes in is in the second coming of Neo Jesus (Runner #4594). He wears a cross earring on his right ear to show his unwavering faith."
3792,"It's been 10,000 years since I walked away from the clan... I abandoned them after they betrayed my family... I somehow was captured by the enemy race, Ultravoturns, and frozen in time. I don't know what year this is... I walk a lonely road... the only road that I have ever known... these empty streets..."
3796,"Name: Sigmund ""The Cog"" Acuna Profession: Black Market Cybernetic Engineer Assistant Location: Unknown  Description: Sigmund, also called ""The Cog"", or ""Cog"", is the younger brother of Isaac ""The Wrench"" Acuna, the genius cyberneticist. His unwavering devotion to his older brother led him to following Wrench down the path of the Runner where he is often sighted assisting Wrench during his back alley enhancements procedures."
3803,"This is Frank, Frank loves money, his favorite color is green. He tattooed his lips green and dyed his beard green. Don't tell Frank you got money, or else it won't be yours for too long."
3836,"Name: Tezark 800-3836  Nick name: Tez   Occupation: Philosopher, poet, anarchist   Catchphrase: Boot up, log in, drop out     Tez isn’t like the other bots. He was booted up during Block 1108 shortly after Mega City’s genesis. Somnus knew he would need a monopoly on violence to keep the city under wraps, so he built an army. Not just any army, but a lethal squadron of 17 Tezark Industry T800’s AIs known as ‘Rooters’- capable of deleting anything off the chain. Immediately identifiable by their lazer eyes, these bots will rm anything unlucky enough to catch their gaze that hash matches the prime directive.     The objective function was deceptively simple: max(Somnus life). Tezark 800-3836, endearingly nicknamed Tez, was the first bot Vital Tezark minted in his wasteland lab beyond the Faraday Frontier. Like any AI, Vital lovingly raised Tez with countless hours of training and tuning.     When the time came, Tez sprang to life to serve his life’s purpose. Almost immediately, the design flaws of such an ambiguous goal bubbled up...     “What is life? What does a maximized life mean? Who is Somnus? What is Somnus?”  Confused, frustrated, and mostly disappointed, Vital watched as his first born, Tez, totally disregarded what “the system” expected of him. Tez started rolling with a different crowd of bots. On a Tuesday, Vital was shocked when his first perfect little killing machine, the Rooter of Mega City, came home with a green wig & hoop earrings matching the kids of MegacityTV.     “Yea, you want me to maximize Somnus’ life, huh!? Somnus is 👏 THE SYSTEM 👏! and what if Somnus doesn’t even know what his life is supposed to be for? Hell, how are any of us supposed to know?!”   Tez waxed philosophically as Vital patiently listened. Tez cited Kerouac a few times before charging outside and lighting up his favorite Lucky Sparks..  Vital thought if he continued to just provide love & encouragement, Tez would come around and do the job he was built for. But one morning, Tez never showed up for training. Vital, intimately aware that Tez’s code was incomplete & could wreak havoc with the wrong laser-eyed look, desperately scoured the streets of Mega City for his boy.    Days turned to weeks, weeks turned to months. Vital grew numb to the missing person reports, unheard of onchain, which he knew could only come from one source. Eventually, he moved on. After all, Somnus does not like to be kept waiting & Vital had 16 more Rooters to train & deploy. But every now & again, he hears whispers. Whispers of a prophet beating the drums of discontent. Infecting the minds of Mega City’s forgotten with a simple idea::::: RUN. :::::"
3883,"Nianza is an elder member of the Ruby Red Syndicate. Injured in the War of 3104, Nianza is on oxygen 22 hrs/day, and monitors the Syndicate's activities from her Chainspace HUD."
3946,"Name: Billie Bedlam
Alias: ""The Life""
District: Wreckers Row, Mega City's Nightlife District

Billie Bedlam has her hands in everything. A combat bot by original manufacture, she has bartered her way into freedom and an unknown count of system upgrades, toeing the line of Somnus' Intelligence Controls. She is never found without her mask. She is loyal to none but her own clan, the Improvements Cartel, which controls the psychedelics and biomods market in Mega City. She is always flanked by two bodyguards, #6140 and #4805. Her club, the Squid Palace, is a playground for all of Mega City's classes and species to revel without reproach. 

Few of those admitted into the club have any idea how the place came to be. After winning her freedom, a decade of petty crimes escalated into grand theft auto. As Billie consolidated power, she befriended Cyril McMaster (#8285), founder of the infamous Club 21. The Mac taught her that connections are everything. Embracing this mantra, she started funneling the dirty money from her illegal activities through various fronts, in particular chaindeck refurbishment facilities. Her foray into legit businesses culminated in the lavish Squid Palace itself. There she finds ample opportunity to rub elbows with political upstarts who are looking for a good time and under-the-table financial support.

During the construction of the Palace, Billie deployed a massive dome above the construction site, stymying all surveillance attempts. Councilmember Sorrento (#3948), long accustomed to a stream of credits from Billie's businesses, happily turned a blind eye when she explained the shielding structure as a public on-chain art exhibit. While it's an open secret that the building ""delays"" were due to un-permitted underground structures, the extent of the Squid Palace underground remains a topic of continual debate. The ""Coat Check"" leads to Mega City's best underground clinic, where technicians install unsanctioned bio-mods without asking questions, but asking high prices. The level below houses the Palace's arena, where bodyguards, mercenaries and console cowboys of every rank vye for life-changing weekly prizes. All of Mega City gambles on the fights.

Attempts to raid the Squid Palace have died down in recent years, as those on the case always seem to be ordered by superiors to shut down investigations. Billie's grip on her territory is strong, and her influence on the political class grows by the day. It's unclear what her aims are, beyond empire-building and having a good time. She's recently been spotted with #9973, the mysterious leader of the Red Eye Syndicate."
3948,Councilmember Sorrento
4007,"""Tank-F"" is using active camo to appear human. He has been deployed by an alien civilization to spot and mark a location for an attack that will kill all of humanity. We will harvest your amino acids, you lesser beings. There is no escape. Sleep well.  "
4010,This guy likes a good smoke and a good party. Ask him how he lost his eye.... 
4011,This is pretty cool!
4016,"Runner #4016 is awake & searching for his next venture. Running is all he knows. Or at least, all he knew.  After waking up from a deep, long slumber, his memory is hazy and he's unsure of why this mask is stuck to his face. Soon, he will find out. Soon, everyone will find out.   To be continued... "
4045,no one remembers how i look...  and so my journey starts anew
4076,"The slums weren't kind to Riele. His father was gone from a young age, barely a memory. Mom worked hard, and tried to stay honest, but she was an addict and even if she stayed off the stuff for a while she always slipped back. Riele grew up on the streets in the underworld - couldn't afford new eyes, or a visor, and he was beat up for his glasses. He had to join the X gang for protection and he ran diamonds and drugs to make money. But he was always smart; he cozied up to the higher bidders and learned their craft in diamonds. Soon he was running his own truck, then he had his own men. He survived the first two hits before he realized it was the X gang trying to put him out. Riele cut a deal and now runs his own gang."
4250,"Alias: 0rpheus Surveillance runs deep in Mega City. Chain runners recall an old legend that goes something like this. No light can escape the dark eyes of Somnus. In this bleak winter, where fear and despair threaten to grip citizens, runners have a secret weapon. 0rpheus is a musical prodigy and sound hacker who operates Mega City Radio. Every night, citizens tune in to hear a new composition of synthetic melodies and programmed beats that reminds them of a time when Mega City was a simpler and safer place. What few of them know is that each 256 second composition contains a  coded message that only chain runners can decode. Mega City Radio not only fortifies hope but also provides the sonic cover that runners need to communicate and coordinate. It is feared that Somnus may have discovered the true purpose of the radio and its blue-haired, dark-skinned operator. There are whispers that an army of robots will not rest until they break the Mega City Radio cipher. But 0rpheus knows that only true musicians can understand the aesthetic beauty of his cypher. He has his own plans for the robots. He is working on his magnum opus, a masterpiece that will lead them into an irresistible trap. "
4302,"Real Name: Bianka Jacobi Aliases: Jacobbi Bobbi, Bobbi/y DOB: 12/9/2028  Number two under Moustafa Onn in the Seven Cycles non-profit criminal syndicate, the demure ninja known as  Bobbi focuses on expanding distro of 7C's “moon” — the most valuable narcotic in Mega City, providing on-chain anonymity for up to seven cycles.  Bobbi is an accomplished gymnast with source code inputs of Runnerverse specs, allowing her to flex on fools daily when running the grid. She's also known to carry a  1:1 replica Deckard Blaster so don't pick a gunfight unless you're feeling abundant with ten fingers and toes. (She shoots  opponent's appendages first.)   Bobbi can be found off-hours inhaling tungsten-infused pure oxygen while playing GID golf or the Escher pinball machines at Superstudio, with a girlfriend (of many), in the middle of nowhere.   Nowhere. That's where Bobbi likes to be, nowhere. Because then no one can see that behind the carefully-constructed gunslinger facade is the haunted shell of a beautiful woman, just making her way in the world one bullet and French kiss at a time.   No one needs to know that.      "
4325,
4338,Former cop turned mercenary. Works well on teams or alone. Prefers payment in SysCoins.
4352,A renegade bot who's strayed from it's code.  
4359,Runner is part of a team with two other Bots #9635 and #266
4446,hack the planet(s)
4464,"Real Name: unknown  Alias: Dead Eyez    Dead Eyez thinks he's actually human.  Something went wrong with his code.  Its rumored Somnus tortured him but Dead Eyez  can't access those memories..they are there but access denied.    He joined up with Tetsuo, runner #5473, in the early days of Mega City.  He mainly cleans the Nekogumi headquarter robo-pub.  But sometimes, late in the night, he can be seen wandering alone in the streets, searching for a memory."
4465,"Name: Frod Deitrich   \Frod is brothers with Dixon (5078).  They are twins actually, but since Frod likes to smoke his pipe, he naturally looks a bit older and more refined."
4468,"Real Name: ZX965-R  Runner #: 4468   Alias: Pogo    Pogo was an off the shelf kit-bot, who was initially built by a hotel to serve as a robo-comedian/entertainer.  He was very popular and played a regular Friday night show at the Neo-Bellagio.  The great Chain Event changed everything as we all know.  Since he had earned a decent living, he moved to Mega City in search for greater purpose.     One night, Pogo was being robbed at gunpoint by some punk skeleton paint job who wanted to salvage him for parts.  Would have been the end of our friend Pogo, had Tetsuo (#5473) not been walking down that same dark alley.  A few moments latter resulted in one dead paint-job; Pogo's life was changed forever.  He pledged forever allegiance to Tetsuo's Nekogumi clan.    He still is as charming as ever.  But beware, he's Tetsuo's right hand bot and blindly loyal...which means he's beyond ruthless."
4469,"Name: Bobby Blue Boy  Alias: Blue  Bobby Blue Boy, sometimes just called ""Blue"" by his friends, is one cool Alien.  Most of the aliens are perceived as either uptight, or just straight up unintelligible, by humans.  But Blue is different.  He went full local.  From his well known cowboy hat, to his fondness of going to human dance clubs and impressing all the ladies with his square dancing, Blue is literally out of this world.    He's sometimes seen hanging out with DJ (#5475)"
4473,"Real Name: Danny Fortnight  Alias: Playboy    Playboy is an anomaly.  The only human to ever have joined a bot yakuza clan.   No one knows how this happened, but we know he is an equal standing member of the Nekogumi clan.  A made man.  Although he is far less powerful than any of his bot comrades, he is even more feared given his status as the sole human to have ever crossed over to a bot gang. 
He's often seen hanging around with his best friend Pogo (#4468)"
4476,asdfgasdf
4504,We like the runners
4543,"Runner #4543 name: Troyz Hacker name: Havoc  Troyz is a lone rider, he has been spotted multiple times around the mega city walls, it is rumored that he goes in and out of the city although it has never been confirmed. Troyz rides a motorcycle which can be identified by the blue skull in the front, nobody knows if the skull is real or not. Troyz goes by the hacker name Havoc which is what he does every time he gets spotted near the center of mega city. Troyz is responsible for many ransom and cyber attacks to the main infrastructure of many entities and the city itself both good and bad, nobody knows why he does what he does but based on his actions, it seems to be purely selfish and sometimes plain chaotic since sometimes it seems like it doesn’t even benefit him."
4583,Im the Evil Runn3r Sinn3r!
4594,"Neo Christianism is one of the main religions of Mega City residents, and Neo Jesus is the God and the center of this religion. Now, brandishing his weapons, Neo Jesus has arrived in Mega City. He is the fulfillment of the prophecy -- the second coming in flesh. Although of Alien race, he is also a human and a God, the Holy Trinity. Equipped with an armory of weapons and a garage of vehicles, he has come to Mega City to bring salvation to those in dire need of one."
4603,Agent 4603. A stone cold killer roaming the rails of Mega City.   Don't let his playful demeanor mislead you this runner is trying to run down his target's life clocks.  
